time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity
16.554,500,0.301941350061499,9.29787936097212,0.768271776259948,0.819847617189967,-2.3664717574634,-2.4305144805525,68.5614448792436,-3.01804039457399,0.766639956531038,1.0707621204983,-0.749641276375362,-0.547310538424371,energy,0.513452454302732,4.16666666666667
16.556,500,0.300129701875081,9.28613715573527,0.76705787247688,0.818859065937707,-2.3649352138379,-2.42887676234284,68.5697720741862,-3.01836019987272,0.765391064390898,1.06945607415623,-0.748494376321,-0.546665554209439,energy,0.513452454302732,4.16666666666667
16.558,500,0.298328923578298,9.27438457101964,0.765847214175727,0.817869848527212,-2.36340109802008,-2.42724102256809,68.5780992766947,-3.01867980810788,0.764145680910944,1.0681490782688,-0.747350372974281,-0.546020204792574,energy,0.513452454302732,4.16666666666667
16.56,500,0.296538949951809,9.26262146275522,0.764639814734098,0.816879955878765,-2.36186940351898,-2.42560726257873,68.586426486752,-3.01899921960314,0.762903817456517,1.06684111982063,-0.74620928137226,-0.545374485269216,energy,0.513452454302732,4.16666666666667
16.562,500,0.29475971616759,9.25084771718433,0.763435686897929,0.815889378779801,-2.36034012381687,-2.42397548374367,68.594753704341,-3.01931843468251,0.761665484780632,1.06553218651845,-0.745071115917638,-0.544728389750447,energy,0.513452454302732,4.16666666666667
16.564,500,0.292991157786582,9.2390632471347,0.762234842789402,0.814898107996401,-2.35881325237055,-2.42234568745026,68.6030809294446,-3.0196374536703,0.760430693031722,1.06422226679632,-0.743935890386635,-0.544081911577928,energy,0.513452454302732,4.16666666666667
16.566,500,0.291233210756364,9.22726798884021,0.761037293914254,0.813906134367184,-2.35728878261257,-2.42071787510421,68.6114081620459,-3.01995627689116,0.759199451760788,1.0629113498187,-0.742803617936273,-0.543435043506037,energy,0.513452454302732,4.16666666666667
16.568,500,0.289485811408829,9.21546189922758,0.759843051168601,0.812913448882237,-2.35576670795244,-2.41909204812922,68.6197354021277,-3.02027490467009,0.757971769928068,1.06159942548203,-0.741674311111172,-0.542787777856144,energy,0.513452454302732,4.16666666666667
16.57,500,0.287748896457877,9.2036449535996,0.758652124845359,0.811920042749322,-2.35424702177793,-2.4174682079666,68.628062649673,-3.02059333733244,0.756747655909307,1.06028648441482,-0.740547981849957,-0.542140106647156,energy,0.513452454302732,4.16666666666667
16.572,500,0.286022402997126,9.19181714365532,0.757464524640348,0.810925907449277,-2.35272971745617,-2.41584635607466,68.6363899046648,-3.02091157520387,0.755527117501716,1.05897251797658,-0.739424641491339,-0.541492021705915,energy,0.513452454302732,4.16666666666667
16.574,500,0.284306268497631,9.17997841205704,0.756280258622064,0.809931034782215,-2.35121478833493,-2.41422649392816,68.6447171670861,-3.0212296186104,0.754310160907265,1.05765751646156,-0.738304299757539,-0.540843516554662,energy,0.513452454302732,4.16666666666667
16.576,500,0.282600430805622,9.16812880382761,0.755099335594706,0.808935416682896,-2.34970222774584,-2.41260862301795,68.6530444369198,-3.02154746787839,0.753096793064491,1.05634147317822,-0.737186967086225,-0.540194581967168,energy,0.513452454302732,4.16666666666667
16.578,500,0.280904828140252,9.15626836950482,0.753921763732526,0.807939045573375,-2.34819202900292,-2.41099274485005,68.6613717141491,-3.02186512333453,0.751887020300782,1.05502438207113,-0.73607265328292,-0.539545209042829,energy,0.513452454302732,4.16666666666667
16.58,500,0.279219399091357,9.1443971655165,0.752747550593392,0.806941914362367,-2.34668418540384,-2.40937886094467,68.6696989987568,-3.02218258530581,0.750680848345708,1.0537062377309,-0.73496136753446,-0.538895389195488,energy,0.513452454302732,4.16666666666667
16.582,500,0.277544082617235,9.13251525440719,0.751576703130917,0.805944016445965,-2.34517869023115,-2.40776697283522,68.678026290726,-3.02249985411953,0.749478282342924,1.05238703540129,-0.733853118421023,-0.538245114147758,energy,0.513452454302732,4.16666666666667
16.584,500,0.275878818042436,9.12062270495243,0.750409227705402,0.804945345709111,-2.34367553675349,-2.40615708206734,68.6863535900399,-3.02281693010326,0.748279326860906,1.05106677098382,-0.732747913926989,-0.53759437592926,energy,0.513452454302732,4.16666666666667
