time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,obstaclex,obstacley
5.646,500,-360,0,0,-30.8071472581639,0,-3.3605794115563,19.7656074732721,9.7941416252224,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.648,500,-360,0,0,-30.8071472581639,0,-3.42219370899915,19.7737546860044,9.79239023270897,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.65,500,-360,0,0,-30.8071472581639,0,-3.483808006442,19.7819000106271,9.79063007992256,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.652,500,-360,0,0,-30.8071472581639,0,-3.54542230388485,19.7900434377208,9.78886116889863,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.654,500,-360,0,0,-30.8071472581639,0,-3.6070366013277,19.7981849578683,9.78708350168282,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.656,500,-360,0,0,-30.8071472581639,0,-3.66865089877055,19.8063245616543,9.78529708033086,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.658,500,-360,0,0,-30.8071472581639,0,-3.7302651962134,19.8144622396662,9.78350190690861,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.66,500,-360,0,0,-30.8071472581639,0,-3.79187949365625,19.8225979824933,9.78169798349206,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.662,500,-360,0,0,-30.8071472581639,0,-3.8534937910991,19.8307317807272,9.77988531216731,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.664,500,-360,0,0,-30.8071472581639,0,-3.91510808854195,19.8388636249618,9.77806389503057,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.666,500,-360,0,0,-30.8071472581639,0,-3.9767223859848,19.8469935057932,9.7762337341882,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.668,500,-360,0,0,-30.8071472581639,0,-4.03833668342765,19.8551214138198,9.77439483175662,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.67,500,-360,0,0,-30.8071472581639,0,-4.0999509808705,19.8632473396422,9.77254718986239,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.672,500,-360,0,0,-30.8071472581639,0,-4.16156527831335,19.8713712738635,9.77069081064217,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.674,500,-360,0,0,-30.8071472581639,0,-4.2231795757562,19.8794932070889,9.76882569624274,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.676,500,-360,0,0,-30.8071472581639,0,-4.28479387319905,19.8876131299261,9.76695184882094,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.678,500,-360,0,0,-30.8071472581639,0,-4.3464081706419,19.8957310329848,9.76506927054375,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.68,500,-360,0,0,-30.8071472581639,0,-4.40802246808475,19.9038469068775,9.76317796358824,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.682,500,-360,0,0,-30.8071472581639,0,-4.46963676552759,19.9119607422186,9.76127793014154,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.684,500,-360,0,0,-30.8071472581639,0,-4.53125106297044,19.9200725296251,9.75936917240093,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.686,500,-360,0,0,-30.8071472581639,0,-4.59286536041329,19.9281822597164,9.75745169257372,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.688,500,-360,0,0,-30.8071472581639,0,-4.65447965785614,19.9362899231142,9.75552549287734,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.69,500,-360,0,0,-30.8071472581639,0,-4.71609395529899,19.9443955104424,9.7535905755393,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.692,500,-360,0,0,-30.8071472581639,0,-4.77770825274184,19.9524990123277,9.75164694279719,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.694,500,-360,0,0,-30.8071472581639,0,-4.83932255018469,19.960600419399,9.74969459689867,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.696,500,-360,0,0,-30.8071472581639,0,-4.90093684762754,19.9686997222875,9.74773354010148,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.698,500,-360,0,0,-30.8071472581639,0,-4.96255114507039,19.976796911627,9.74576377467345,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
