time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,velocity,b
19.02714,500,-115.7,-101.860822379039,-9.16366700587727,-5.80010396706953,-58.9696818077878,-58.2669200317702,52.3293310523872,-22.0391599906285,-11.0350863505697,-8.59295959267578,-1.99226014311968,-2.87615213821356,138.814990686639,2.05380981721093,3.1796875
19.03657,500,-115.7,-101.807279496351,-9.15503660882179,-5.80703650586312,-59.0322896004937,-58.3249903955309,52.3473652378521,-22.0654427555933,-11.0308280563397,-8.59335066013432,-1.99651843734971,-2.86973236129042,139.069035054331,2.05380981721093,3.1875
19.04531,500,-115.7,-101.753777652111,-9.16050782717813,-5.81388538677966,-59.0949804904643,-58.3831292480992,52.3653752936078,-22.0917420611214,-11.0335275911824,-8.59375917566594,-1.99381890250696,-2.86329975705561,139.323027914713,2.05380981721093,3.1875
19.05358,500,-115.7,-101.695218103319,-9.16669451872665,-5.82064862604447,-59.1577694447964,-58.4413357330586,52.3833611879875,-22.1180578963341,-11.0365801451675,-8.59384167543814,-1.99076634852194,-2.85662369174638,139.576944829071,2.05380981721093,3.1875
19.06267,500,-115.7,-101.642296432261,-9.00164674631191,-5.82732986920349,-59.2189366617936,-58.4996090304481,52.4013228884866,-22.1443902508578,-10.9551444971394,-8.59419932004035,-2.07220199654997,-2.85030728356689,139.824852235581,2.05380981721093,3.1875
19.07089,500,-115.7,-101.590216495655,-9.1272426689785,-5.83393021539206,-59.2813977633389,-58.5579483312981,52.4192603623572,-22.1707391144144,-11.0171143450349,-8.59456389515603,-2.01023214865447,-2.84407872072831,140.076829690239,2.05380981721093,3.1875
19.08135,500,-115.7,-101.581761400267,-9.12077199002986,-5.84058756274206,-59.3437634918813,-58.61635420562,52.4372175352026,-22.1971690613501,-11.0139216698134,-8.59734454447107,-2.01342482387604,-2.8403460622754,140.328715031743,2.05380981721093,3.1953125
19.08927,500,-115.7,-101.581761400267,-9.12077199002986,-5.84058756274206,-59.3437634918813,-58.61635420562,52.4372175352026,-22.1971690613501,-11.0139216698134,-8.59734454447107,-2.01342482387604,-2.8403460622754,140.328715031743,2.05380981721093,3.1953125
19.10544,500,-115.7,-101.006645431393,-9.10718942482987,-5.85341354153993,-59.4690598070211,-58.7333599771217,52.4730590083601,-22.2500783851854,-11.0072199435025,-8.57149626389228,-2.02012655018692,-2.80143863844124,140.826651834527,2.05380981721093,3.1953125
19.11198,500,-115.7,-100.970134755296,-9.10592711873701,-5.85959406965945,-59.5320266810224,-58.7919559165086,52.4909432964268,-22.2765577052667,-11.0065971134383,-8.57252441618249,-2.02074938025108,-2.79629953344376,141.07300622644,2.05380981721093,3.1953125
19.1192,500,-115.7,-100.970134755296,-9.10592711873701,-5.85959406965945,-59.5320266810224,-58.7919559165086,52.4909432964268,-22.2765577052667,-11.0065971134383,-8.57252441618249,-2.02074938025108,-2.79629953344376,141.07300622644,2.05380981721093,3.1953125
19.12586,500,-115.7,-103.486205237901,-9.09940448683706,-5.86704569159303,-59.5913029653255,-58.8506263721132,52.5088029247337,-22.3030536639843,-11.0033788042915,-8.71722354870868,-2.02396768939787,-2.9348996401521,141.342369724984,2.05380981721093,3.1953125
19.13333,500,-115.7,-103.39318998338,-9.10562233894544,-5.87438890219436,-59.6507216391162,-58.9093702598221,52.526637866437,-22.3295662460174,-11.0064467331001,-8.71566365910534,-2.02089976058926,-2.92598639276461,141.611370198436,2.05380981721093,3.1953125
19.14207,500,-115.7,-103.302073229833,-8.91333017350939,-5.88162556487304,-59.7082957530908,-58.9681865141562,52.5444480942451,-22.3560954362999,-10.9115685237557,-8.71415716036311,-2.11577796993368,-2.91723351795591,141.873044324145,2.05380981721093,3.1953125
19.1503,500,-115.7,-102.766492330053,-8.91159117777823,-5.888523261366,-59.7665770096183,-59.0270717454536,52.5622336351774,-22.3826411833297,-10.9107104919131,-8.68757566824018,-2.1166360017763,-2.88351079264726,142.129911302897,2.05380981721093,3.1953125
19.15977,500,-115.7,-102.766492330053,-8.91159117777823,-5.888523261366,-59.7665770096183,-59.0270717454536,52.5622336351774,-22.3826411833297,-10.9107104919131,-8.68757566824018,-2.1166360017763,-2.88351079264726,142.129911302897,2.05380981721093,3.1953125
19.16787,500,-115.7,-102.691449935069,-8.98335738319192,-5.89532640928172,-59.8256477769181,-59.0860250082287,52.5799944591203,-22.4092034739782,-10.9461204060178,-8.68675430342408,-2.08122608767161,-2.87588269090176,142.388754287197,2.05380981721093,3.1953125
19.17693,500,-115.7,-102.553152489945,-8.98083620704489,-5.90200256629526,-59.8848522802348,-59.1450450325725,52.597730543562,-22.4357822899845,-10.9448764412534,-8.68232515783682,-2.08247005243601,-2.8647401101552,142.64640706705,2.05380981721093,3.1953125
19.18549,500,-115.7,-104.495240722407,-8.99763136796498,-5.90964460736292,-59.9414180913711,-59.2041414773252,52.6154416101112,-22.462377783462,-10.9531632832583,-8.79495481073208,-2.07418321043111,-2.97078164417093,142.922618687802,2.05380981721093,3.1953125
19.19451,500,-115.7,-104.375250676253,-8.99450680944451,-5.91716255692213,-59.9980727369796,-59.2633131015718,52.6331276356375,-22.4889899358122,-10.9516216056931,-8.79197024960089,-2.07572488799629,-2.96025581716869,143.197872374888,2.05380981721093,3.1953125
19.20287,500,-115.7,-104.309361862726,-9.00162613209447,-5.92458580160748,-60.0548430715785,-59.3225589582637,52.6507885901003,-22.515618732989,-10.95513432595,-8.79197024960089,-2.07221216773938,-2.95283700641785,143.473015336754,2.05380981721093,3.1953125
19.21172,500,-115.7,-104.287178229578,-8.74643967346831,-5.93193803682383,-60.1090443241454,-59.381878337306,52.6684244378819,-22.5422641645796,-10.829223661891,-8.7943840338209,-2.19812283179837,-2.94792543589267,143.739172494562,2.05380981721093,3.1953125
19.22009,500,-115.7,-104.098230043869,-8.75067942365951,-5.93913230657766,-60.16352401486,-59.4412696590443,52.6860351637585,-22.5689262066192,-10.8313155823044,-8.78737427844121,-2.196030911385,-2.93366039883861,144.003853096791,2.05380981721093,3.1953125
19.22944,500,-115.7,-104.098230043869,-8.75067942365951,-5.93913230657766,-60.16352401486,-59.4412696590443,52.6860351637585,-22.5689262066192,-10.8313155823044,-8.78737427844121,-2.196030911385,-2.93366039883861,144.003853096791,2.05380981721093,3.1953125
19.23762,500,-115.7,-103.439474416634,-8.76097121545321,-5.94592330276288,-60.2190142600773,-59.5007288907429,52.7036208101224,-22.5956047971665,-10.8363936195407,-8.75383738426519,-2.1909528741487,-2.89302410536843,144.262955505994,2.05380981721093,3.1953125
19.24629,500,-115.7,-104.963859497019,-8.76462475907983,-5.95346003932432,-60.2723392078629,-59.5602634898054,52.7211811493487,-22.6223000521359,-10.8381963018095,-8.84300786682766,-2.18915019187993,-2.97549314425786,144.536233148646,2.05380981721093,3.1953125
19.25533,500,-115.7,-104.828179214372,-8.76833879979528,-5.96086529175412,-60.3258574141948,-59.6198721413906,52.7387161600208,-22.6490119512138,-10.8400288337367,-8.83908801955774,-2.18731765995271,-2.96413594697809,144.808532487194,2.05380981721093,3.1953125
19.2642,500,-115.7,-104.675396914207,-8.78745243367147,-5.96813113584608,-60.3797485016137,-59.6795534514151,52.7562258225718,-22.6757404728522,-10.8494596254287,-8.83414048856819,-2.17788686826068,-2.95188081623595,145.080236708102,2.05380981721093,3.1953125
19.27228,500,-115.7,-104.550700607845,-8.52759446715558,-5.9752734270201,-60.4311831461103,-59.7393061843497,52.7737101136926,-22.7024855979337,-10.7212440088902,-8.83070535657465,-2.30610248479921,-2.94127565445718,145.341679475554,2.05380981721093,3.1953125
19.28168,500,-115.7,-104.441276929238,-8.5380944787166,-5.98206634489812,-60.482859440766,-59.7991268464616,52.7910835114062,-22.7291165248131,-10.7264247831185,-8.82806908045577,-2.30092171057085,-2.93159127218513,145.602475532286,2.05380981721093,3.1796875
19.2899,500,-115.7,-104.441276929238,-8.5380944787166,-5.98206634489812,-60.482859440766,-59.7991268464616,52.7910835114062,-22.7291165248131,-10.7264247831185,-8.82806908045577,-2.30092171057085,-2.93159127218513,145.602475532286,2.05380981721093,3.1796875
19.29811,500,-115.7,-104.321231617673,-8.54850338347733,-5.98874166609054,-60.5347951470224,-59.8590142617839,52.8084314902123,-22.7557640171137,-10.7315606046571,-8.82466244507175,-2.29578588903233,-2.92148129677654,145.862497274831,2.05380981721093,3.1796875
19.30734,500,-115.7,-104.301088449213,-8.55893308619832,-5.99535276783564,-60.5868497635077,-59.9189677881222,52.8257540142699,-22.7824280635966,-10.7367066880449,-8.82682207294595,-2.29063980564449,-2.9170536305704,146.122656132718,2.05380981721093,3.1796875
19.31721,500,-115.7,-104.286524552954,-8.56975753209607,-6.00190309444405,-60.6390192463431,-59.9789868177251,52.8430510469296,-22.8091086534653,-10.7420475402923,-8.82926411613396,-2.2852989533971,-2.9129717522669,146.383019695947,2.05380981721093,3.1796875
19.3261,500,-115.7,-103.071906830895,-8.57999883673286,-6.00776330401673,-60.693009252301,-60.0390644494225,52.8603227001857,-22.8358056796736,-10.7471006668359,-8.76411559771154,-2.28024582685352,-2.84135928605111,146.6325682118,2.05380981721093,3.1796875
19.33481,500,-115.7,-103.901145010506,-8.59009771059703,-6.01401163007345,-60.7459111002267,-60.099204564379,52.8775688313081,-22.8625192001432,-10.7520835171067,-8.81369147602794,-2.27526297658265,-2.88515223307253,146.889985841156,2.05380981721093,3.1796875
19.34401,500,-115.7,-103.801015171726,-8.59614977234401,-6.02015718850845,-60.7990041790171,-60.1594061349184,52.894789413631,-22.8892491975062,-10.7550696438691,-8.81113733585068,-2.27227684982032,-2.87643216318808,147.146639250425,2.05380981721093,3.1796875
19.35239,500,-115.7,-103.700334246224,-8.60631040795389,-6.02620051600544,-60.8523322150077,-60.2196681387315,52.9119844203897,-22.9159956544143,-10.7600829677883,-8.80850146440342,-2.26726352590106,-2.86773177446408,147.402664356171,2.05380981721093,3.1796875
19.3622,500,-115.7,-103.5989570833,-8.65923353273371,-6.0321420687548,-60.9063242935816,-60.2799895580708,52.9291538247438,-22.9427585535228,-10.7861955829364,-8.80577595480198,-2.24115091075299,-2.85904263040986,147.659591100594,2.05380981721093,3.1796875
19.37023,500,-115.7,-103.538033644247,-8.66756598028049,-6.03800389622334,-60.960474816402,-60.3403695956834,52.9462975946658,-22.9695378807629,-10.7903068669344,-8.80527769075066,-2.23703962675501,-2.85268116455511,147.916208741977,2.05380981721093,3.1796875
