time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
1.647308,34.7748,135.3757,275.93,0,0,-3.9,25.3,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,8.070653,18.78423,7.181953
1.658391,34.7748,135.3757,275.93,0,0,-3.9,25.3,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,8.730774,19.10582,7.25074
1.669123,34.7748,135.3757,275.93,0,0,-3.9,25.3,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,9.121936,19.16692,7.46982
1.679821,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,8.660849,19.08642,6.934666
1.690486,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,9.292077,19.27526,6.794654
1.703215,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.626,68,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,10.5093,19.17633,6.892323
1.713519,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.626,83,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,10.0884,19.00004,6.413761
1.7255,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.626,83,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,10.1288,19.205,6.063838
1.736454,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.62598,83,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,11.2251,19.07693,6.185025
1.746425,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.62598,83,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,11.51497,19.09904,5.903418
1.758087,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.62598,83,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,11.53839,18.98514,5.746402
1.768623,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.62598,83,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,11.66942,18.86957,5.54315
1.781011,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.62598,83,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,12.18433,18.56319,5.522259
1.791429,34.7748,135.3757,275.93,0,0,-3.9,25.2,5.62598,92,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,13.03975,17.95365,5.654896
1.803089,34.7748,135.3757,275.93,0,0.09999999,-3.9,25.2,5.62598,80,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,13.82694,17.38188,6.001582
1.813767,34.7748,135.3757,275.93,0,0.09999999,-3.9,25.2,5.62598,80,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,14.40399,16.76803,6.600758
1.82699,34.7748,135.3757,275.93,0,0.09999999,-3.9,25.2,5.62598,80,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,14.72172,16.40475,6.964056
1.83774,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,80,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,16.07446,16.31189,7.837167
1.848024,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,80,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,17.32529,16.11831,8.865088
1.859571,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,80,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,17.19604,15.96702,9.521487
1.871119,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,80,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,17.65723,15.63837,9.845774
1.882773,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,80,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,18.57496,15.46948,10.1709
1.893051,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,80,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,20.48813,15.55133,11.03599
1.903684,34.7748,135.3757,275.93,0,0.05,-3.9,24,5.626,106,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,21.89709,15.73239,12.24004
1.915338,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.626,106,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,23.17719,16.08984,13.55118
1.926647,34.7748,135.3757,275.93,0,0,-3.9,25,5.62598,106,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,23.95827,16.44009,14.54711
1.93695,34.7748,135.3757,275.93,0,0,-3.9,25,5.62598,106,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,24.88486,16.82665,15.36176
1.94908,34.7748,135.3757,275.93,0,0,-3.9,25,5.62598,106,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,25.70575,17.1384,16.19411
1.960247,34.7748,135.3757,275.93,0,0,-3.9,25,5.62598,62,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,26.52617,17.36727,16.66409
1.970929,34.7748,135.3757,275.93,0,0,-3.9,25,5.62598,62,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,27.22307,17.29539,16.76284
1.981623,34.7748,135.3757,275.93,0,0,-3.9,25,5.62598,73,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,28.02247,17.30194,16.70758
1.993881,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,73,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,28.64214,17.63654,16.46268
2.005281,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,73,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,28.9044,18.49193,16.19868
2.014905,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,73,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,29.07397,19.67923,16.10304
2.02556,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,73,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,29.301,20.62292,16.07924
2.037345,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,59,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,28.33548,20.4284,15.58791
2.047963,34.7748,135.3757,275.93,0,0.02,-3.9,25,5.626,59,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,27.30836,19.65749,15.26005
2.060036,34.7748,135.3757,275.93,0,0.02,-3.9,25,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,26.91077,18.5514,14.68552
2.070951,34.7748,135.3757,275.93,0,0.02,-3.9,25,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,26.65532,17.9011,13.25267
2.081511,34.7748,135.3757,275.93,0,0.02,-3.9,25,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,26.8972,17.80957,12.26776
2.093034,34.7748,135.3757,275.93,0,0.02,-3.9,25,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,27.7694,17.83822,12.11076
2.105187,34.7748,135.3757,275.93,0,0.02,-3.9,25,5.626,70,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,28.18274,17.70505,12.68249
